Date;Time;Events (total);Min (total);Max (total);Average (total);EPS (total);Interval (window);Events (window);Min (window);Max (window);Average (window);EPS (window)
2019-10-07;00:00:00;23798797;0.02;814656.10;96.18;34.26;10;57;3.18;726.93;137.43;5.70
2019-10-07;00:00:00;23798797;0.02;814656.10;96.18;34.26;10;57;3.18;726.93;137.43;10.0
2019-09-23;12:04:50;78358616;0.01;801685.31;93.56;34.24;10;1001;0.02;7856.97;79.39;100.10
2019-09-23;12:04:50;78358616;0.01;801685.31;93.56;34.24;10;1001;0.02;7856.97;79.39;100.10
2019-10-08;04:42:20;98272961;0.01;3568013.10;71.24;269.31;10;540;0.08;2076.71;35.57;54.00
2019-10-08;04:42:30;98273499;0.01;3568013.10;71.24;269.31;10;538;0.08;864.85;26.39;53.80
2019-10-08;04:42:40;98273995;0.01;3568013.10;71.24;269.30;10;496;0.09;1641.32;35.83;49.60
2019-10-08;04:42:50;98274515;0.01;3568013.10;71.24;269.29;10;520;0.08;5059.20;41.13;52.00
2019-10-08;04:43:00;98274906;0.01;3568013.10;71.24;269.29;10;391;0.09;4366.19;41.25;39.10
2019-10-08;04:43:10;98275266;0.01;3568013.10;71.24;269.28;10;360;0.08;5061.89;74.20;36.00
2019-10-08;04:43:20;98275634;0.01;3568013.10;71.24;269.27;10;368;0.08;1169.20;26.74;36.80
2019-10-08;04:43:30;98276068;0.01;3568013.10;71.24;269.27;10;434;0.08;4484.21;31.37;43.40
2019-10-08;04:43:40;98276450;0.01;3568013.10;71.23;269.26;10;382;0.08;1881.55;26.67;38.20
2019-10-08;07:52:20;100235861;0.01;3568013.10;71.03;266.37;10;2602;0.08;4774.26;47.22;260.20
2019-10-08;07:52:30;100239082;0.01;3568013.10;71.03;266.37;10;3221;0.07;5020.64;63.32;322.10
2019-10-08;07:52:40;100241938;0.01;3568013.10;71.03;266.37;10;2856;0.03;5034.26;47.95;285.60
2019-10-08;07:52:50;100244269;0.01;3568013.10;71.03;266.37;10;2331;0.07;880.74;39.60;233.10
2019-10-08;07:53:00;100246602;0.01;3568013.10;71.03;266.37;10;2333;0.07;4554.46;49.14;233.30
2019-10-08;07:53:10;100250485;0.01;3568013.10;71.03;266.37;10;3883;0.07;5120.88;74.26;388.40
2019-10-08;07:53:20;100253910;0.01;3568013.10;71.03;266.37;10;3422;0.07;2303.59;65.50;342.20
2019-10-08;07:53:30;100257401;0.01;3568013.10;71.03;266.38;10;3491;0.02;2598.22;57.04;349.10
2019-10-08;07:53:40;100262185;0.01;3568013.10;71.03;266.38;10;4784;0.08;4528.10;69.08;478.40
2019-10-08;07:53:50;100266722;0.01;3568013.10;71.03;266.39;10;4537;0.06;5132.31;50.30;453.70
